,Code,Location,city,state_or_country
291,PHO ,"Phoenix, AZ",Phoenix, AZ
292,PHR  ,"Pharr, TX",Pharr, TX
293,PHU ,"Port Huron, M",Port Huron, M
294,PHY  ,"Pacific Highway POE, WA",Pacific Highway POE, WA
295,PIB  ,"Paradise, Island, Bahamas",Paradise," Island, Bahamas"
296,PIE   ,"Piegan, MT",Piegan, MT
297,PIN  ,"Pine Creek, MN",Pine Creek, MN
298,PIT   ,"Pittsburgh, PA",Pittsburgh, PA
299,PIV  ,"Pinnacle POE, VT",Pinnacle POE, VT
300,PKC  ,"Poker Creek, AK",Poker Creek, AK
301,PNG ,"Port Angeles, WA",Port Angeles, WA
302,PNH ,"Pittsburg, NH",Pittsburg, NH
303,POE  ,"Port of El Paso, TX",Port of El Paso, TX
304,POM ,"Portland, ME",Portland, ME
305,PON ,"Ponce, PR",Ponce, PR
306,POO ,"Portland, OR",Portland, OR
307,POR ,"Portal, ND",Portal, ND
308,PRC  ,Prince Rupert BC Canada,Prince Rupert BC Canada,
309,PRE  ,"Presidio, TX",Presidio, TX
310,PRO ,"Providence, RI",Providence, RI
311,PSJ  ,"Port St. Joe, FL",Port St. Joe, FL
312,PSM ,"Portsmouth, NH",Portsmouth, NH
313,PTL  ,"Porthill, ID",Porthill, ID
314,PTO  ,"Port Townsend, WA",Port Townsend, WA
315,PTR  ,"Point Roberts, WA",Point Roberts, WA
316,PUT  ,"Put-in-Bay, OH",Put-in-Bay, OH
317,RAN ,"Ranier, MN",Ranier, MN
318,RAY  ,"Raymond, MT",Raymond, MT
319,RBB  ,"Niagara Falls, Rainbow Bridge, NY",Niagara Falls," Rainbow Bridge, NY"
320,RBT  ,"Roberts Landing, MI",Roberts Landing, MI
321,RCM ,"Richmond, VA",Richmond, VA
322,RDU ,"Raleigh-Durham, NC",Raleigh-Durham, NC
323,REN  ,"Reno, NV",Reno, NV
324,RIF   ,"Richford, VT",Richford, VT
325,RIO  ,"Rio Grande City, TX",Rio Grande City, TX
326,RIT  ,"Rome, Italy",Rome, Italy
327,ROC ,"Rochester, NY",Rochester, NY
328,ROM ,"Roma, TX",Roma, TX
329,ROO ,"Roosville, MT",Roosville, MT
330,ROS ,"Roseau, MN",Roseau, MN
331,ROU ,"Rouses Point, NY",Rouses Point, NY
332,SAC  ,"Sacramento, CA",Sacramento, CA
333,SAG ,"Saginaw, MI",Saginaw, MI
334,SAJ  ,"San Juan, PR",San Juan, PR
335,SAR  ,"Sarles, ND",Sarles, ND
336,SAS  ,"Sasabe, AZ",Sasabe, AZ
337,SAU ,"St. Augustine, FL",St. Augustine, FL
338,SAV  ,"Savannah, GA",Savannah, GA
339,SBR  ,"South Brewer, ME",South Brewer, ME
340,SCL  ,"St. Clair, MI",St. Clair, MI
341,SCO ,"Scobey, MT",Scobey, MT
342,SDP  ,"San Diego Intl. Airport, CA",San Diego Intl. Airport, CA
343,SDY  ,"Sandusky, OH",Sandusky, OH
344,SEA  ,"Seattle, WA",Seattle, WA
345,SET  ,"Seattle-Tacoma, WA",Seattle-Tacoma, WA
346,SFB  ,"Sanford, FL",Sanford, FL
347,SFR  ,"San Francisco, CA",San Francisco, CA
348,SHA ,"Shannon, Ireland",Shannon, Ireland
349,SHR ,"Sherwood, ND",Sherwood, ND
350,SJO  ,"St. John, ND",St. John, ND
351,SKA  ,"Skagway, AK",Skagway, AK
352,SLC  ,"Salt Lake City, UT",Salt Lake City, UT
353,SLO  ,"San Luis Obispo, CA",San Luis Obispo, CA
354,SLU  ,"San Luis, AZ",San Luis, AZ
355,SNA ,"San Antonio, TX",San Antonio, TX
356,SND ,"San Diego, CA",San Diego, CA
357,SNJ  ,"San Jose, CA",San Jose, CA
358,SNN ,"Shannon, Ireland",Shannon, Ireland
359,SPA  ,"St. Pamphile, ME",St. Pamphile, ME
360,SPC  ,"San Pedro, CA",San Pedro, CA
361,SPE  ,"St. Petersburg, FL",St. Petersburg, FL
362,SPM ,"St. Paul, MN",St. Paul, MN
363,SPN  ,Saipan,Saipan,
364,SPO ,"Spokane, WA",Spokane, WA
365,SRL  ,"St. Aurelie, ME",St. Aurelie, ME
366,SSB  ,"Sanford, Fl",Sanford, Fl
